<<<<<<< HEAD
<<<<<<< HEAD
Nome,DataInizio,DataFine,Prezzo,Descrizione,Stato,Citta,Localita
Bellissimo viaggio a Albuquerque 67,2021-10-29,2022-07-29,6252,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Solomon Islands,Albuquerque,Albuquerque 67
Bellissimo viaggio a Yokohama 76,2021-01-04,2021-02-04,4772,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Spain,Yokohama,Yokohama 76
Bellissimo viaggio a Bahía Blanca 2,2021-05-29,2021-06-29,3410,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Tajikistan,Bahía Blanca,Bahía Blanca 2
Bellissimo viaggio a Denpasar 62,2021-09-10,2022-04-10,712,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Panama,Denpasar,Denpasar 62
Bellissimo viaggio a Petropavlovsk-Kamchatsky 52,2021-12-19,2022-03-19,2737,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,India,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky 52
Bellissimo viaggio a Juneau 23,2021-11-13,2021-11-13,8518,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Botswana,Juneau,Juneau 23
Bellissimo viaggio a Liverpool 2,2021-04-10,2021-06-10,1811,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Nepal,Liverpool,Liverpool 2
Bellissimo viaggio a Riyadh 35,2021-05-19,2022-02-19,3391,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Bouvet Island,Riyadh,Riyadh 35
Bellissimo viaggio a Yamoussoukro 25,2021-12-05,2022-05-04,6795,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Albania,Yamoussoukro,Yamoussoukro 25
Bellissimo viaggio a Durango 93,2021-10-31,2022-05-01,3537,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Central African Republic,Durango,Durango 93
Bellissimo viaggio a Atlanta 59,2021-11-21,2022-02-21,9353,Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.Aperiam molestiae mollitia aliquam aut nobis rerum. Hic odio earum provident enim distinctio odio. Et quia qui consequatur. Fugiat laboriosam fugit velit. Enim recusandae excepturi optio.''''Sequi et molestias animi dignissimos. Esse ut ut voluptate ipsa molestias dolore necessitatibus. Rerum et illo numquam ut.''''Sit sequi consequatur et. Sint dolorem esse dignissimos. Sint necessitatibus ut eveniet pariatur repellat eius quisquam. Delectus omnis ab corrupti culpa natus.''''Non alias possimus vel. Odit nihil tempore labore optio eligendi. Id non inventore qui dolor maiores autem. Est autem nemo aut eveniet rerum. Et eos nihil aut est et vitae omnis. Doloremque maiores iusto deserunt pariatur ut omnis.''''Eum aspernatur tempore temporibus expedita ullam ducimus eligendi hic. Et possimus laudantium cum et. Consequuntur aut modi voluptatem exercitationem tempore.,Jersey,Atlanta,Atlanta 59
